Namespace(algo='dqn', batch_size=32, checkpoint_freq=500000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep    34 |ep_len   31.1 |ep_rew  -0.20 |raw_ep_rew   0.33 |env_step   1000 |time 00:07 rem 501:49
iter   1000 |loss   0.00 |n_ep    67 |ep_len   31.7 |ep_rew  -0.22 |raw_ep_rew   0.58 |env_step   2000 |time 00:14 rem 499:20
iter   1500 |loss   0.00 |n_ep   103 |ep_len   25.3 |ep_rew  -0.34 |raw_ep_rew   0.59 |env_step   3000 |time 00:22 rem 499:28
iter   2000 |loss   0.00 |n_ep   135 |ep_len   27.7 |ep_rew  -0.31 |raw_ep_rew   0.77 |env_step   4000 |time 00:29 rem 498:45
iter   2500 |loss   0.00 |n_ep   166 |ep_len   27.9 |ep_rew  -0.32 |raw_ep_rew   0.80 |env_step   5000 |time 00:37 rem 499:45
iter   3000 |loss   0.00 |n_ep   198 |ep_len   28.3 |ep_rew  -0.27 |raw_ep_rew   0.79 |env_step   6000 |time 00:45 rem 499:29
iter   3500 |loss   0.00 |n_ep   227 |ep_len   37.3 |ep_rew   0.02 |raw_ep_rew   1.26 |env_step   7000 |time 00:52 rem 499:15
iter   4000 |loss   0.00 |n_ep   259 |ep_len   28.7 |ep_rew  -0.23 |raw_ep_rew   1.08 |env_step   8000 |time 01:00 rem 499:24
iter   4500 |loss   0.00 |n_ep   292 |ep_len   28.1 |ep_rew  -0.33 |raw_ep_rew   1.06 |env_step   9000 |time 01:07 rem 501:32
iter   5000 |loss   0.00 |n_ep   320 |ep_len   31.3 |ep_rew  -0.18 |raw_ep_rew   1.36 |env_step  10000 |time 01:15 rem 501:08
iter   5500 |loss   0.01 |n_ep   348 |ep_len   32.8 |ep_rew  -0.13 |raw_ep_rew   1.44 |env_step  11000 |time 01:26 rem 524:06
iter   6000 |loss   0.01 |n_ep   379 |ep_len   35.0 |ep_rew  -0.11 |raw_ep_rew   1.14 |env_step  12000 |time 01:38 rem 543:19
iter   6500 |loss   0.01 |n_ep   411 |ep_len   35.6 |ep_rew  -0.12 |raw_ep_rew   0.94 |env_step  13000 |time 01:49 rem 559:45
iter   7000 |loss   0.00 |n_ep   442 |ep_len   29.1 |ep_rew  -0.22 |raw_ep_rew   1.21 |env_step  14000 |time 02:00 rem 573:24
iter   7500 |loss   0.00 |n_ep   472 |ep_len   37.1 |ep_rew   0.02 |raw_ep_rew   1.22 |env_step  15000 |time 02:12 rem 585:09
iter   8000 |loss   0.00 |n_ep   503 |ep_len   31.2 |ep_rew  -0.17 |raw_ep_rew   1.35 |env_step  16000 |time 02:23 rem 595:34
iter   8500 |loss   0.01 |n_ep   530 |ep_len   42.7 |ep_rew   0.06 |raw_ep_rew   1.22 |env_step  17000 |time 02:34 rem 604:28
