Namespace(algo='dqn', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=4000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=2, parallel_env=0, print_freq=200, replay_size=20000, save_dir='cartpole_dqn/', target_update=1000, train_freq=1, train_start=100, value_coef=0.5)
observation space: Box(4,)
action space: Discrete(2)
running on device cpu
obses on reset: 2 x (4,) float32
iter    200 |loss   0.02 |n_ep    16 |ep_len   25.8 |ep_rew  25.84 |raw_ep_rew  25.84 |env_step    400 |time 00:00 rem 00:11
iter    400 |loss   0.00 |n_ep    35 |ep_len   20.2 |ep_rew  20.23 |raw_ep_rew  20.23 |env_step    800 |time 00:00 rem 00:14
iter    600 |loss   0.01 |n_ep    51 |ep_len   18.8 |ep_rew  18.76 |raw_ep_rew  18.76 |env_step   1200 |time 00:01 rem 00:15
iter    800 |loss   0.00 |n_ep    65 |ep_len   28.8 |ep_rew  28.76 |raw_ep_rew  28.76 |env_step   1600 |time 00:01 rem 00:16
iter   1000 |loss   0.00 |n_ep    76 |ep_len   31.1 |ep_rew  31.13 |raw_ep_rew  31.13 |env_step   2000 |time 00:01 rem 00:15
iter   1200 |loss   0.01 |n_ep    87 |ep_len   33.9 |ep_rew  33.93 |raw_ep_rew  33.93 |env_step   2400 |time 00:02 rem 00:15
iter   1400 |loss   0.01 |n_ep   100 |ep_len   34.3 |ep_rew  34.34 |raw_ep_rew  34.34 |env_step   2800 |time 00:02 rem 00:15
iter   1600 |loss   0.02 |n_ep   112 |ep_len   33.1 |ep_rew  33.14 |raw_ep_rew  33.14 |env_step   3200 |time 00:02 rem 00:15
iter   1800 |loss   0.02 |n_ep   126 |ep_len   27.3 |ep_rew  27.30 |raw_ep_rew  27.30 |env_step   3600 |time 00:03 rem 00:15
iter   2000 |loss   0.01 |n_ep   136 |ep_len   34.7 |ep_rew  34.70 |raw_ep_rew  34.70 |env_step   4000 |time 00:03 rem 00:14
iter   2200 |loss   0.03 |n_ep   145 |ep_len   39.4 |ep_rew  39.42 |raw_ep_rew  39.42 |env_step   4400 |time 00:04 rem 00:14
iter   2400 |loss   0.02 |n_ep   148 |ep_len   61.7 |ep_rew  61.69 |raw_ep_rew  61.69 |env_step   4800 |time 00:04 rem 00:13
iter   2600 |loss   0.02 |n_ep   151 |ep_len   71.9 |ep_rew  71.94 |raw_ep_rew  71.94 |env_step   5200 |time 00:04 rem 00:13
